,number of features selected,Coefficient,StdErr,R2,MSE
140,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
141,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
142,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
143,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
144,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
145,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
146,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
147,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
148,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
149,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
150,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
151,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
152,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
153,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
154,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
155,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
156,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
157,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
158,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
159,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
160,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
161,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
162,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
163,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
164,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
165,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
166,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
167,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
168,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
169,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
170,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
171,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
172,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
173,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
174,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
175,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
176,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
177,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
178,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
179,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
180,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
181,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
182,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
183,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
184,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
185,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
186,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
187,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
188,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
189,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
190,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
191,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
192,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
193,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
194,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
195,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
196,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
197,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
198,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
199,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
200,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
201,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
202,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
203,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
204,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
205,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
206,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
207,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
208,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
209,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
210,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
211,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
212,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
213,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
214,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
215,2303,0.0,0.0,0.22057649126697887,0.04584850864574831
216,2303,2.0845943335405614e-05,2.759771876280707e-05,0.22057649126697887,0.04584850864574831
217,2303,5.308886650897535e-05,0.004011543611631636,0.22057649126697887,0.04584850864574831
218,2303,-0.0026918150949539485,0.003096416429936327,0.22057649126697887,0.04584850864574831
219,2303,-0.0030442637993508864,0.0036132988111935967,0.22057649126697887,0.04584850864574831
220,2303,0.0005477089906584647,0.0024522226398834214,0.22057649126697887,0.04584850864574831
221,2303,0.003112600017677516,0.0033796464556229934,0.22057649126697887,0.04584850864574831
222,2303,-0.002693171399122561,0.004629085435600715,0.22057649126697887,0.04584850864574831
223,2303,-0.0021803858797863774,0.00671817138482001,0.22057649126697887,0.04584850864574831
224,2303,0.00010778503543103267,0.006756073880822924,0.22057649126697887,0.04584850864574831
225,2303,-0.004128223780217177,0.00495173404884264,0.22057649126697887,0.04584850864574831
226,2303,-0.001158683766566596,0.006116815178068237,0.22057649126697887,0.04584850864574831
227,2303,-0.00017630300189079096,0.0004793867992626818,0.22057649126697887,0.04584850864574831
228,2303,-0.002323734714555423,0.007403390630307399,0.22057649126697887,0.04584850864574831
229,2303,0.009800347450331842,0.004431258103754606,0.22057649126697887,0.04584850864574831
230,2303,-0.001882902281396747,0.0009346260610323589,0.22057649126697887,0.04584850864574831
231,2303,-0.0010153796497665633,0.003539109149840841,0.22057649126697887,0.04584850864574831
232,2303,0.010913102410702018,0.005034530337338421,0.22057649126697887,0.04584850864574831
233,2303,0.004072424098175756,0.0025561198582246896,0.22057649126697887,0.04584850864574831
234,2303,-0.0017380783338765574,0.0018603247823549532,0.22057649126697887,0.04584850864574831
235,2303,0.002402854291010273,0.007205632127848974,0.22057649126697887,0.04584850864574831
236,2303,0.0038662002602723937,0.008661543869978982,0.22057649126697887,0.04584850864574831
237,2303,-0.003321050284342374,0.007392204241230791,0.22057649126697887,0.04584850864574831
238,2303,-0.0003861557754515425,0.001242493458654444,0.22057649126697887,0.04584850864574831
239,2303,0.0003513524259356852,0.0009832944424477915,0.22057649126697887,0.04584850864574831
240,2303,-0.0011578159391814754,0.000891796738779567,0.22057649126697887,0.04584850864574831
241,2303,-3.5579130282846766e-05,0.0009622621231099123,0.22057649126697887,0.04584850864574831
242,2303,-0.0010004131188724116,0.0012269902184634373,0.22057649126697887,0.04584850864574831
243,2303,-0.004388993101036839,0.006475564399564114,0.22057649126697887,0.04584850864574831
244,2303,-0.0073065084509964994,0.0030659091413826832,0.22057649126697887,0.04584850864574831
245,2303,0.0009891136223823351,0.0031894271879093533,0.22057649126697887,0.04584850864574831
246,2303,-0.004715121547540082,0.004445775948724664,0.22057649126697887,0.04584850864574831
247,2303,0.005421750290188476,0.0037855470000961173,0.22057649126697887,0.04584850864574831
248,2303,0.001983106200318252,0.002067626799763711,0.22057649126697887,0.04584850864574831
249,2303,-0.005085858886644456,0.004054752381407779,0.22057649126697887,0.04584850864574831
250,2303,0.0008761892531798267,0.0015950736476409136,0.22057649126697887,0.04584850864574831
251,2303,-0.000891042841103268,0.002024958865185946,0.22057649126697887,0.04584850864574831
252,2303,-0.0015443536083498616,0.0026573338854813757,0.22057649126697887,0.04584850864574831
253,2303,-0.006167502136340959,0.0041960363069303876,0.22057649126697887,0.04584850864574831
254,2303,0.004907528254170756,0.006514151298291217,0.22057649126697887,0.04584850864574831
